"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 12:27:03 IST 2024","Wed Oct 23 12:27:11 IST 2024","8382","chromium","Part_18_HandleInnerFrames.spec.js","","","","Inner Frames",""
"passed","Wed Oct 23 12:27:52 IST 2024","Wed Oct 23 12:27:53 IST 2024","497","chromium","Part_28_Grouping_Hooks.spec.js","Group 2","","","Test 3",""
"passed","Wed Oct 23 12:28:12 IST 2024","Wed Oct 23 12:28:28 IST 2024","16442","chromium","Part_35_HandlingWindows.spec.js","","","","Handling Multiple pages/Windows link",""
"passed","Wed Oct 23 12:26:33 IST 2024","Wed Oct 23 12:26:36 IST 2024","3154","chromium","Part_07_Assertions.spec.js","","","","All Assertions Test",""
"passed","Wed Oct 23 12:26:26 IST 2024","Wed Oct 23 12:26:32 IST 2024","6039","chromium","Part_03_HomepageTest.spec.js","","","","Homepage Test",""
"passed","Wed Oct 23 12:27:14 IST 2024","Wed Oct 23 12:27:23 IST 2024","8529","chromium","Part_23_MouseDoubleClick.spec.js","","","","Double Click",""
"passed","Wed Oct 23 12:28:05 IST 2024","Wed Oct 23 12:28:05 IST 2024","759","chromium","Part_32_Tags.spec.js","","","","Tags Test2",""
"passed","Wed Oct 23 12:27:03 IST 2024","Wed Oct 23 12:27:24 IST 2024","20677","chromium","Part_19_Table.spec.js","","","","Handling Table",""
"passed","Wed Oct 23 12:26:48 IST 2024","Wed Oct 23 12:26:55 IST 2024","7117","chromium","Part_14_AutoSuggestDropDown.spec.js","","","","Auto Suggest DropDowns",""
"passed","Wed Oct 23 12:27:56 IST 2024","Wed Oct 23 12:28:06 IST 2024","9917","chromium","Part_29_Screenshots.spec.js","","","","Element screenshot",""
"passed","Wed Oct 23 12:28:25 IST 2024","Wed Oct 23 12:28:28 IST 2024","3095","chromium","Part_36_Reporters.spec.js","","","","Test1",""
"passed","Wed Oct 23 12:27:38 IST 2024","Wed Oct 23 12:27:49 IST 2024","11383","chromium","Part_27_Hooks1.spec.js","","","","Homepage Test",""
"passed","Wed Oct 23 12:26:44 IST 2024","Wed Oct 23 12:26:51 IST 2024","7293","chromium","Part_13_BootstrapDropDown.spec.js","","","","Bootstrap DropDown",""
"passed","Wed Oct 23 12:27:39 IST 2024","Wed Oct 23 12:27:53 IST 2024","14191","chromium","Part_27_Hooks1.spec.js","","","","AddToCart Test",""
"passed","Wed Oct 23 12:28:07 IST 2024","Wed Oct 23 12:28:07 IST 2024","470","chromium","Part_32_Tags.spec.js","","","","Tags Test5",""
"passed","Wed Oct 23 12:26:58 IST 2024","Wed Oct 23 12:27:06 IST 2024","7848","chromium","Part_17_HandleFrames.spec.js","","","","Frames",""
"passed","Wed Oct 23 12:26:26 IST 2024","Wed Oct 23 12:26:37 IST 2024","11378","chromium","Part_04_LoginpageTest.spec.js","","","","Loginpage Test",""
"passed","Wed Oct 23 12:28:08 IST 2024","Wed Oct 23 12:28:08 IST 2024","476","chromium","Part_33_Annotations.spec.js","","","","Annotations Test2",""
"passed","Wed Oct 23 12:28:10 IST 2024","Wed Oct 23 12:28:24 IST 2024","14401","chromium","Part_35_HandlingWindows.spec.js","","","","Handling pages/Windows no link",""
"passed","Wed Oct 23 12:27:16 IST 2024","Wed Oct 23 12:27:26 IST 2024","9665","chromium","Part_24_DragAndDrop.spec.js","","","","Drag and Drop",""
"passed","Wed Oct 23 12:28:09 IST 2024","Wed Oct 23 12:28:09 IST 2024","463","chromium","Part_33_Annotations.spec.js","","","","Annotations Test6",""
"passed","Wed Oct 23 12:26:49 IST 2024","Wed Oct 23 12:27:03 IST 2024","14165","chromium","Part_15_HiddenDropDown.spec.js","","","","Hidden DropDown",""
"passed","Wed Oct 23 12:28:26 IST 2024","Wed Oct 23 12:28:38 IST 2024","12019","chromium","Part_30_RecordVideo_Screenshots.spec.js","","","","Record Videos",""
"passed","Wed Oct 23 12:27:06 IST 2024","Wed Oct 23 12:27:14 IST 2024","8055","chromium","Part_21_MouseHover.spec.js","","","","Mouse hover",""
